"Package","Version","LibPath"
"rlang","1.1.6","/work/islet_cartography_scrna/r_library"
"robustbase","0.99-6","/work/islet_cartography_scrna/r_library"
"ROCR","1.0-11","/work/islet_cartography_scrna/r_library"
"rprojroot","2.1.1","/work/islet_cartography_scrna/r_library"
"RSpectra","0.16-2","/work/islet_cartography_scrna/r_library"
"RSQLite","2.4.3","/work/islet_cartography_scrna/r_library"
"rsvd","1.0.5","/work/islet_cartography_scrna/r_library"
"Rtsne","0.17","/work/islet_cartography_scrna/r_library"
"S4Arrays","1.6.0","/work/islet_cartography_scrna/r_library"
"S4Vectors","0.44.0","/work/islet_cartography_scrna/r_library"
"S7","0.2.0","/work/islet_cartography_scrna/r_library"
"ScaledMatrix","1.14.0","/work/islet_cartography_scrna/r_library"
"scales","1.4.0","/work/islet_cartography_scrna/r_library"
"scattermore","1.2","/work/islet_cartography_scrna/r_library"
"scatterpie","0.2.6","/work/islet_cartography_scrna/r_library"
"sctransform","0.4.2","/work/islet_cartography_scrna/r_library"
"scuttle","1.16.0","/work/islet_cartography_scrna/r_library"
"segmented","2.1-4","/work/islet_cartography_scrna/r_library"
"Seurat","5.3.1","/work/islet_cartography_scrna/r_library"
"SeuratObject","5.3.0","/work/islet_cartography_scrna/r_library"
"shape","1.4.6.1","/work/islet_cartography_scrna/r_library"
"SingleCellExperiment","1.28.1","/work/islet_cartography_scrna/r_library"
"sitmo","2.0.2","/work/islet_cartography_scrna/r_library"
"snakecase","0.11.1","/work/islet_cartography_scrna/r_library"
"snow","0.4-4","/work/islet_cartography_scrna/r_library"
"sp","2.2-0","/work/islet_cartography_scrna/r_library"
"spam","2.11-1","/work/islet_cartography_scrna/r_library"
"SparseArray","1.6.2","/work/islet_cartography_scrna/r_library"
"sparseMatrixStats","1.18.0","/work/islet_cartography_scrna/r_library"
"spatstat.data","3.1-9","/work/islet_cartography_scrna/r_library"
"spatstat.explore","3.5-3","/work/islet_cartography_scrna/r_library"
"spatstat.geom","3.6-0","/work/islet_cartography_scrna/r_library"
"spatstat.random","3.4-2","/work/islet_cartography_scrna/r_library"
"spatstat.sparse","3.1-0","/work/islet_cartography_scrna/r_library"
"spatstat.univar","3.1-4","/work/islet_cartography_scrna/r_library"
"spatstat.utils","3.2-0","/work/islet_cartography_scrna/r_library"
"spelling","2.3.2","/work/islet_cartography_scrna/r_library"
"statmod","1.5.1","/work/islet_cartography_scrna/r_library"
"stringdist","0.9.15","/work/islet_cartography_scrna/r_library"
"stringfish","0.17.0","/work/islet_cartography_scrna/r_library"
"stringi","1.8.7","/work/islet_cartography_scrna/r_library"
"stringr","1.6.0","/work/islet_cartography_scrna/r_library"
"styler","1.11.0","/work/islet_cartography_scrna/r_library"
"SummarizedExperiment","1.36.0","/work/islet_cartography_scrna/r_library"
"svglite","2.2.2","/work/islet_cartography_scrna/r_library"
"sys","3.4.3","/work/islet_cartography_scrna/r_library"
"systemfonts","1.3.1","/work/islet_cartography_scrna/r_library"
"tensor","1.5.1","/work/islet_cartography_scrna/r_library"
"tibble","3.3.0","/work/islet_cartography_scrna/r_library"
"tidygraph","1.3.1","/work/islet_cartography_scrna/r_library"
"tidyr","1.3.1","/work/islet_cartography_scrna/r_library"
"tidyselect","1.2.1","/work/islet_cartography_scrna/r_library"
"tidytree","0.4.6","/work/islet_cartography_scrna/r_library"
"tidyverse","2.0.0","/work/islet_cartography_scrna/r_library"
"treeio","1.30.0","/work/islet_cartography_scrna/r_library"
"tweenr","2.0.3","/work/islet_cartography_scrna/r_library"
"tzdb","0.5.0","/work/islet_cartography_scrna/r_library"
"UCSC.utils","1.2.0","/work/islet_cartography_scrna/r_library"
"umap","0.2.10.0","/work/islet_cartography_scrna/r_library"
"utf8","1.2.6","/work/islet_cartography_scrna/r_library"
"uwot","0.2.3","/work/islet_cartography_scrna/r_library"
"vctrs","0.6.5","/work/islet_cartography_scrna/r_library"
"vipor","0.4.7","/work/islet_cartography_scrna/r_library"
"viridis","0.6.5","/work/islet_cartography_scrna/r_library"
"viridisLite","0.4.2","/work/islet_cartography_scrna/r_library"
"vroom","1.6.6","/work/islet_cartography_scrna/r_library"
"withr","3.0.2","/work/islet_cartography_scrna/r_library"
"XML","3.99-0.19","/work/islet_cartography_scrna/r_library"
"XVector","0.46.0","/work/islet_cartography_scrna/r_library"
"yulab.utils","0.2.2","/work/islet_cartography_scrna/r_library"
"zlibbioc","1.52.0","/work/islet_cartography_scrna/r_library"
"askpass","1.2.1","/usr/local/lib/R/site-library"
"backports","1.5.0","/usr/local/lib/R/site-library"
"base64enc","0.1-3","/usr/local/lib/R/site-library"
"bdsmatrix","1.3-7","/usr/local/lib/R/site-library"
"BiocManager","1.30.25","/usr/local/lib/R/site-library"
"bit","4.5.0.1","/usr/local/lib/R/site-library"
"bit64","4.6.0-1","/usr/local/lib/R/site-library"
"blob","1.2.4","/usr/local/lib/R/site-library"
"brew","1.0-10","/usr/local/lib/R/site-library"
"brio","1.1.5","/usr/local/lib/R/site-library"
"broom","1.0.7","/usr/local/lib/R/site-library"
